,name,followers,id,image1,image2,image3,popularity,type,uri,genres,n_times_listen
0,The Latin Brothers,201709.0,2AiZXMqpVlCDnz3trZbWaK,https://i.scdn.co/image/ab67616d0000b2734990e33dce8a42de2ebff7ff,https://i.scdn.co/image/ab67616d00001e024990e33dce8a42de2ebff7ff,https://i.scdn.co/image/ab67616d000048514990e33dce8a42de2ebff7ff,49.0,artist,spotify:artist:2AiZXMqpVlCDnz3trZbWaK,latino,16.0
1,Ice Cube,6792994.0,3Mcii5XWf6E0lrY3Uky4cA,https://i.scdn.co/image/ab6761610000e5eb650e79afafd00492e33d7b8c,https://i.scdn.co/image/ab67616100005174650e79afafd00492e33d7b8c,https://i.scdn.co/image/ab6761610000f178650e79afafd00492e33d7b8c,76.0,artist,spotify:artist:3Mcii5XWf6E0lrY3Uky4cA,hip hop,8.0
2,AFROJACK,3982534.0,4D75GcNG95ebPtNvoNVXhz,https://i.scdn.co/image/ab6761610000e5eb78484e23002e1607039af9b9,https://i.scdn.co/image/ab6761610000517478484e23002e1607039af9b9,https://i.scdn.co/image/ab6761610000f17878484e23002e1607039af9b9,73.0,artist,spotify:artist:4D75GcNG95ebPtNvoNVXhz,dance,6.0
3,Luis Bacalov,26085.0,4iy3JrFlBLHPvXqN1OcQS1,https://i.scdn.co/image/a961ac3d889ed95dc1a43991819ba42622147824,https://i.scdn.co/image/7eedb0df6d55f039d086c09ea1492901aa099a70,https://i.scdn.co/image/e1c5414cb2468a5b8d62cc1c2e1fb865c7353442,47.0,artist,spotify:artist:4iy3JrFlBLHPvXqN1OcQS1,pop,4.0
4,OneRepublic,15387229.0,5Pwc4xIPtQLFEnJriah9YJ,https://i.scdn.co/image/ab6761610000e5eb77bf00f67e21f514dc44c485,https://i.scdn.co/image/ab6761610000517477bf00f67e21f514dc44c485,https://i.scdn.co/image/ab6761610000f17877bf00f67e21f514dc44c485,84.0,artist,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,pop,40.0
5,Ben E. King,516195.0,3plJVWt88EqjvtuB4ZDRV3,https://i.scdn.co/image/22c8cd28a71661b4dbd462e2d45b04b3e1b78572,https://i.scdn.co/image/7acecc812be1bfff5c86e12fa96d22a99a69ca0c,https://i.scdn.co/image/48e0bc961b3644ff379274161608e99dae724ac9,66.0,artist,spotify:artist:3plJVWt88EqjvtuB4ZDRV3,rock,3.0
6,Los Lobos,140130.0,6OWapcJm9xd55ci9CYbAuT,https://i.scdn.co/image/ab6761610000e5ebac4404f853105ca0ae098306,https://i.scdn.co/image/ab67616100005174ac4404f853105ca0ae098306,https://i.scdn.co/image/ab6761610000f178ac4404f853105ca0ae098306,59.0,artist,spotify:artist:6OWapcJm9xd55ci9CYbAuT,rock,2.0
7,Pastor Lopez Y Su Combo,103292.0,1OaJc4r2SBZ7Iokg2Gkwde,https://i.scdn.co/image/ab67616d0000b27323b4a541ae3f5e9955acda7d,https://i.scdn.co/image/ab67616d00001e0223b4a541ae3f5e9955acda7d,https://i.scdn.co/image/ab67616d0000485123b4a541ae3f5e9955acda7d,39.0,artist,spotify:artist:1OaJc4r2SBZ7Iokg2Gkwde,pop,8.0
8,Red Hot Chili Peppers,19492525.0,0L8ExT028jH3ddEcZwqJJ5,https://i.scdn.co/image/ab6761610000e5ebc33cc15260b767ddec982ce8,https://i.scdn.co/image/ab67616100005174c33cc15260b767ddec982ce8,https://i.scdn.co/image/ab6761610000f178c33cc15260b767ddec982ce8,83.0,artist,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,rock,6.0
9,Taburete,405183.0,40Ippe6JeofRURQ4nbF8DT,https://i.scdn.co/image/ab6761610000e5eb932c253df0d51df9adcedbda,https://i.scdn.co/image/ab67616100005174932c253df0d51df9adcedbda,https://i.scdn.co/image/ab6761610000f178932c253df0d51df9adcedbda,59.0,artist,spotify:artist:40Ippe6JeofRURQ4nbF8DT,pop,14.0
