,uri,n_times_listen,n_min_played,artistName,trackName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,albumName,albumID,image
0,spotify:track:20OFwXhEXf12DzwXmaV7fj,57,97.49782832860001,Creedence Clearwater Revival,Bad Moon Rising,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,track,20OFwXhEXf12DzwXmaV7fj,https://api.spotify.com/v1/tracks/20OFwXhEXf12DzwXmaV7fj,https://api.spotify.com/v1/audio-analysis/20OFwXhEXf12DzwXmaV7fj,141600,4,Green River (Expanded Edition),0i9mOB6mPGqwVvtJEXiwPG,https://i.scdn.co/image/ab67616d000048513efcd243aaa5638f55318f91
1,spotify:track:7HTX5cE4qzHALfgO2xSvMd,55,206.7034634061,Milow,Ayo Technology,0.778,0.661,11,-7.664,0,0.0347,0.653,0.0,0.103,0.747,128.052,track,7HTX5cE4qzHALfgO2xSvMd,https://api.spotify.com/v1/tracks/7HTX5cE4qzHALfgO2xSvMd,https://api.spotify.com/v1/audio-analysis/7HTX5cE4qzHALfgO2xSvMd,213640,4,Acoustic Dance Sessions,5ra1FnP7de0jb5q47esf8u,https://i.scdn.co/image/ab67616d00004851ff2a7363d68eb4a35fd495d5
2,spotify:track:2SJ38LDlkNjwWSUq98r4Q5,49,81.10256220480001,Nirvana,Polly,0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,track,2SJ38LDlkNjwWSUq98r4Q5,https://api.spotify.com/v1/tracks/2SJ38LDlkNjwWSUq98r4Q5,https://api.spotify.com/v1/audio-analysis/2SJ38LDlkNjwWSUq98r4Q5,173853,4,Nevermind (Remastered),2UJcKiJxNryhL050F5Z1Fk,https://i.scdn.co/image/ab67616d00004851fbc71c99f9c1296c56dd51b6
3,spotify:track:7aKXQCV7TaA56bnhXTxJFn,41,149.2291151243,Ayax y Prok,Reproches,0.696,0.909,4,-6.943,1,0.316,0.419,0.0,0.276,0.38,93.123,track,7aKXQCV7TaA56bnhXTxJFn,https://api.spotify.com/v1/tracks/7aKXQCV7TaA56bnhXTxJFn,https://api.spotify.com/v1/audio-analysis/7aKXQCV7TaA56bnhXTxJFn,273548,4,Reproches,2z4I2HXUaqMlxprZfXJ0qe,https://i.scdn.co/image/ab67616d0000485161006048b8632a24a0ed3995
4,spotify:track:1eT2CjXwFXNx6oY5ydvzKU,41,88.7559608449,The Beatles,Hey Jude,0.462,0.632,5,-7.438,1,0.0248,0.091,0.0,0.397,0.585,74.268,track,1eT2CjXwFXNx6oY5ydvzKU,https://api.spotify.com/v1/tracks/1eT2CjXwFXNx6oY5ydvzKU,https://api.spotify.com/v1/audio-analysis/1eT2CjXwFXNx6oY5ydvzKU,238854,4,Love,1Ye7yrA7vAlQnoooj8yDXb,https://i.scdn.co/image/ab67616d0000485130503dbc30e621c96913379b
5,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,40,78.17882302400001,OneRepublic,I Ain't Worried,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,track,4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB,148486,4,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",04PEOM6kIEeq9lRp1asNP2,https://i.scdn.co/image/ab67616d00004851ec96e006b8bdfc582610ec13
6,spotify:track:0mvocLIWUnT10znvIXwHGr,35,127.88178909640001,Maná,En El Muelle De San Blas,0.64,0.693,2,-5.735,1,0.0235,0.113,5.62e-06,0.0978,0.698,97.159,track,0mvocLIWUnT10znvIXwHGr,https://api.spotify.com/v1/tracks/0mvocLIWUnT10znvIXwHGr,https://api.spotify.com/v1/audio-analysis/0mvocLIWUnT10znvIXwHGr,352160,4,Sueños Líquidos,7ydFJUb1tmZPd6p4xIe10V,https://i.scdn.co/image/ab67616d000048512f770148868be769ff9f7a90
7,spotify:track:2LawezPeJhN4AWuSB0GtAU,34,57.506115012,Creedence Clearwater Revival,Have You Ever Seen The Rain,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,track,2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/audio-analysis/2LawezPeJhN4AWuSB0GtAU,160133,4,Pendulum (Expanded Edition),372cMadhAGlNuDnc8TssqF,https://i.scdn.co/image/ab67616d0000485151f311c2fb06ad2789e3ff91
8,spotify:track:2rurDawMfoKP4uHyb2kJBt,33,43.4431202194,Shakira,Te Felicito,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,track,2rurDawMfoKP4uHyb2kJBt,https://api.spotify.com/v1/tracks/2rurDawMfoKP4uHyb2kJBt,https://api.spotify.com/v1/audio-analysis/2rurDawMfoKP4uHyb2kJBt,172235,4,Te Felicito,6gQKAYf3TJM9sppw3AtbHH,https://i.scdn.co/image/ab67616d000048519a9716c90ceeb1890921e44f
9,spotify:track:2gE95JskwQ1pCACTpGe1Db,32,59.261201855500005,Creedence Clearwater Revival,Down On The Corner,0.858,0.544,0,-9.289,1,0.0751,0.583,0.00109,0.0707,0.874,108.217,track,2gE95JskwQ1pCACTpGe1Db,https://api.spotify.com/v1/tracks/2gE95JskwQ1pCACTpGe1Db,https://api.spotify.com/v1/audio-analysis/2gE95JskwQ1pCACTpGe1Db,166280,4,Willy And The Poor Boys (Expanded Edition),31q47gQszFt0CddSyMksgO,https://i.scdn.co/image/ab67616d000048519f39192f9f8ca1c90847b3e5
